episode,db_objective,legacy_objective,objective_delta_db_minus_legacy,db_cost,legacy_cost,cost_delta_db_minus_legacy
1,7.6854879941959275,7.6854879941959275,0.0,0.13559873025046457,0.13559873025046462,-5.551115123125783e-17
2,8.487865094582128,9.228236044257136,-0.7403709496750075,0.15542276079165032,0.1323759665112418,0.02304679428040851
3,8.054187875938586,8.837717874125799,-0.7835299981872126,0.15783168364670838,0.1525988844884194,0.0052327991582889755
4,8.269487792157316,9.045196432527122,-0.7757086403698068,0.11568113469326287,0.091627489350503,0.024053645342759875
5,8.789573053277758,9.475390184661645,-0.685817131383887,0.2225197813817457,0.15883162869986,0.06368815268188568
6,8.716597669510918,8.972602437758006,-0.25600476824708807,0.10605451389640635,0.07875886949885211,0.027295644397554247
7,8.867764778342066,9.46664412733225,-0.5988793489901845,0.13866600539298715,0.09620116833894862,0.04246483705403853
8,8.711713768830794,9.309992471691189,-0.5982787028603944,0.11971796278530862,0.1030353306687941,0.016682632116514523
9,8.629795487446136,9.445693586783518,-0.8158980993373817,0.1278810262006834,0.0993652221147572,0.02851580408592619
10,8.297454076105867,9.4945563210781,-1.1971022449722337,0.1189750496474216,0.10894430080428051,0.01003074884314109
11,8.495870771826839,9.43291818450713,-0.9370474126802915,0.14801665172424,0.09932220986365432,0.04869444186058568
12,8.444749547402902,9.30435245947428,-0.8596029120713791,0.1385198894016651,0.13656061572976907,0.0019592736718960224
13,7.976177889903536,8.906609149307217,-0.9304312594036812,0.17061349881960763,0.11718294219574064,0.05343055662386699
14,8.398690882335943,9.416576352301478,-1.0178854699655346,0.15407348039705027,0.09134778286104957,0.0627256975360007
15,8.126132728963922,9.32998901806528,-1.203856289101358,0.15558034906574875,0.10139315824296116,0.054187190822787584
16,8.048277203525943,9.442287398548459,-1.3940101950225152,0.145110645164896,0.0989745267607531,0.04613611840414289
17,8.118963749947637,9.373043065804108,-1.2540793158564707,0.2060425036689636,0.14179966422408802,0.06424283944487558
18,7.717521065244589,9.07967097720128,-1.362149911956691,0.241652802378859,0.13034579200714047,0.11130701037171853
19,7.312193548654665,9.131132824355399,-1.8189392757007337,0.173388441512288,0.103364890057987,0.07002355145430099
20,7.538184587940406,9.21695318021297,-1.6787685922725641,0.15492942349309363,0.12945957781543616,0.025469845677657477
21,7.65985530880246,8.648530766702546,-0.9886754579000856,0.17136883380552678,0.12191365213736359,0.04945518166816319
22,7.084508363165269,8.838585226264767,-1.754076863099498,0.20365434842297994,0.1533715764129282,0.05028277201005174
23,7.0231192738700665,8.850899024642361,-1.8277797507722946,0.13990574238276512,0.11845287736644669,0.021452865016318434
