solver,update,branch,status,theta_dim,decision_dim,gradient_rank,solve_time_sec,feasible_x,objective_value,active_rows
dual,1,feasible,optimal,25994,4,5,0.0010119999969901983,1.5883669711281625,1.5883669711281625,4
dual,2,feasible,optimal,25994,4,5,0.0009062999997695442,1.1607545373081318,1.1607545373081318,4
dual,3,feasible,optimal,25994,4,5,0.0010483999976713676,0.3493263833911627,0.3493263833911627,1 2 3 4
dual,4,feasible,optimal,25994,4,5,0.0009946999998646788,0.3397361673140571,0.3397361673140571,1 3 4
dual,5,feasible,optimal,25994,4,5,0.001200400001835078,0.43387710817849773,0.43387710817849773,1 4
dual,6,feasible,optimal,25994,4,5,0.0012277999994694255,0.5497682603077232,0.5497682603077232,1 4
dual,7,feasible,optimal,25994,4,5,0.0008449000015389174,0.6311127522200487,0.6311127522200487,1 4
dual,8,feasible,optimal,25994,4,5,0.0008156999974744394,0.7091579849781715,0.7091579849781715,1 4
dual,9,feasible,optimal,25994,4,5,0.0007643999997526407,0.8349535866834704,0.8349535866834704,1
dual,10,feasible,optimal,25994,4,5,0.0009086999998544343,1.0001017754923651,1.0001017754923651,1
dual,11,feasible,optimal,25994,4,5,0.0008071000011113938,1.1893894771615032,1.1893894771615032,1
dual,12,feasible,optimal,25994,4,5,0.0007380999995802995,1.3831285291677182,1.3831285291677182,1
dual,13,feasible,optimal,25994,4,5,0.0007729999997536652,1.5590508699029297,1.5590508699029297,1
dual,14,feasible,optimal,25994,4,5,0.0008515000008628704,1.6859502775597561,1.6859502775597561,1
dual,15,feasible,optimal,25994,4,5,0.0007627000013599172,1.7385664425562308,1.7385664425562308,1
dual,16,feasible,optimal,25994,4,5,0.0010502999975869898,1.7392937830185082,1.7392937830185082,1
dual,17,feasible,optimal,25994,4,5,0.000939900000958005,1.6843562621873558,1.6843562621873558,1
dual,18,feasible,optimal,25994,4,5,0.0007436000014422461,1.6028779844627805,1.6028779844627805,1
dual,19,feasible,optimal,25994,4,5,0.0007220999978017062,1.4679943086058773,1.4679943086058773,1
dual,20,feasible,optimal,25994,4,5,0.0009796000013011508,1.3058954051844558,1.3058954051844558,1
dual,21,feasible,optimal,25994,4,5,0.0007933000015327707,1.066523337867832,1.066523337867832,1
dual,22,feasible,optimal,25994,4,5,0.001505400003225077,0.7732599727957771,0.7732599727957771,1 3
dual,23,feasible,optimal,25994,4,5,0.0008747000028961338,0.5472200049925153,0.5472200049925153,1 3
dual,24,feasible,optimal,25994,4,5,0.0009914000002027024,0.27933787303797997,0.27933787303797997,1 3 4
dual,25,feasible,optimal,25994,4,5,0.0008818999995128252,0.1448120992478349,0.1448120992478349,1 3 4
dual,26,feasible,optimal,25994,4,5,0.001319900002272334,0.059416497363319776,0.059416497363319776,1 3 4
dual,27,objective,optimal,25994,4,5,0.002509599999029888,-0.023605886528269115,4.273158233164597,1 3 4
dual,28,objective,optimal,25994,4,5,0.0025468999992881436,-0.11998194273030405,3.9921075508567028,1 3
dual,29,objective,optimal,25994,4,5,0.0021367000008467585,-0.14912199477151056,3.8969021373925266,1 3
dual,30,objective,optimal,25994,4,5,0.002066599998215679,-0.12941054750161962,3.8901180174812553,1 3
dual,31,objective,optimal,25994,4,5,0.002139500000339467,-0.1048913311116152,3.8701281020124987,1 3
dual,32,objective,optimal,25994,4,5,0.002232200000435114,-0.10699734036553832,3.786694496638854,1 3
dual,33,objective,optimal,25994,4,5,0.0019277999999758322,-0.1346633313870742,3.654539392430321,1 3
dual,34,objective,optimal,25994,4,5,0.0019828000004054047,-0.1494792315154213,3.54364465679666,1 3
dual,35,objective,optimal,25994,4,5,0.001557799998408882,-0.17572982796450498,3.385408586448421,1 3
dual,36,objective,optimal,25994,4,5,0.001682400001300266,-0.18205119474838627,3.2629711387466385,1 3
dual,37,objective,optimal,25994,4,5,0.002213399999163812,-0.19107825488393793,3.1438799127362382,1 3
dual,38,objective,optimal,25994,4,5,0.00218739999763784,-0.20045429389447633,3.0404634612823638,1 3
dual,39,objective,optimal,25994,4,5,0.0025793999993766192,-0.1852033100081441,2.9703140159747985,1 3
dual,40,objective,optimal,25994,4,5,0.001888800001324853,-0.1686251209819855,2.8999346706971245,1 3
dual,41,objective,optimal,25994,4,5,0.0024568000008002855,-0.14915112329994445,2.838418432752951,1 3
dual,42,objective,optimal,25994,4,5,0.002379999998083804,-0.1307974386200209,2.775582284503077,1 3
