solver,update,branch,status,theta_dim,decision_dim,gradient_rank,solve_time_sec,feasible_x,objective_value,active_rows
full,1,feasible,optimal,25994,25994,5,0.5335881999999401,1.5883669708924073,1.5883669708924073,
full,2,feasible,optimal,25994,25994,5,0.563452899999902,1.1607605784569572,1.1607605784569572,
full,3,feasible,optimal,25994,25994,5,0.6614681000010023,0.34930723494903493,0.34930723494903493,
full,4,feasible,optimal,25994,25994,5,0.7342883000001166,0.33972908862468115,0.33972908862468115,
full,5,feasible,optimal,25994,25994,5,0.6388767999997071,0.43383890084358073,0.43383890084358073,
full,6,feasible,optimal,25994,25994,5,0.5505405999992945,0.5496995858423347,0.5496995858423347,
full,7,feasible,optimal,25994,25994,5,0.4436956999998074,0.6310368846360506,0.6310368846360506,
full,8,feasible,optimal,25994,25994,5,0.5260751000005257,0.7091286873286038,0.7091286873286038,
full,9,feasible,optimal,25994,25994,5,0.6236464000012347,0.834933601463098,0.834933601463098,
full,10,feasible,optimal,25994,25994,5,0.5327421000001777,1.0000752020295323,1.0000752020295323,
full,11,feasible,optimal,25994,25994,5,0.5228945999988355,1.1893872843974707,1.1893872843974707,
full,12,feasible,optimal,25994,25994,5,0.5254144000009546,1.383114734480512,1.383114734480512,
full,13,feasible,optimal,25994,25994,5,0.5787898999988101,1.558922965477973,1.558922965477973,
full,14,feasible,optimal,25994,25994,5,0.5637339000004431,1.6854928173568993,1.6854928173568993,
full,15,feasible,optimal,25994,25994,5,0.6183765000005224,1.738030911189807,1.738030911189807,
full,16,feasible,optimal,25994,25994,5,0.6289703999991616,1.7385040655202557,1.7385040655202557,
full,17,feasible,optimal,25994,25994,5,0.5487538000015775,1.6835202446395119,1.6835202446395119,
full,18,feasible,optimal,25994,25994,5,0.5185645000001387,1.6019145390519522,1.6019145390519522,
full,19,feasible,optimal,25994,25994,5,0.5867574000003515,1.46661528582461,1.46661528582461,
full,20,feasible,optimal,25994,25994,5,0.579375400000572,1.3020255835167869,1.3020255835167869,
full,21,feasible,optimal,25994,25994,5,0.5925593000010849,1.061430148155565,1.061430148155565,
full,22,feasible,optimal,25994,25994,5,0.6256458000007115,0.7639877604544323,0.7639877604544323,
full,23,feasible,optimal,25994,25994,5,0.6499648000008165,0.5318369388550954,0.5318369388550954,
full,24,feasible,optimal,25994,25994,5,1.3632003000002442,0.26892152160828997,0.26892152160828997,
full,25,feasible,optimal,25994,25994,5,0.7806147999999666,0.13936974349259187,0.13936974349259187,
full,26,feasible,optimal,25994,25994,5,0.7018982000008691,0.06230927956262971,0.06230927956262971,
full,27,objective,optimal,25994,25994,5,1.6556027999995422,-0.018961357610501352,4.336170529855932,
full,28,objective,optimal,25994,25994,5,1.739473800000269,-0.12061475808969437,4.018950165945791,
full,29,objective,optimal,25994,25994,5,2.1023820000009437,-0.16129683773556058,3.9138971980895247,
full,30,objective,optimal,25994,25994,5,1.7406718999991426,-0.14722099868094546,3.90131884926924,
full,31,objective,optimal,25994,25994,5,1.560650400000668,-0.1262412193509227,3.8682418315257205,
full,32,objective,optimal,25994,25994,5,1.602080599999681,-0.14338982134090333,3.753239401881997,
full,33,objective,optimal,25994,25994,5,1.6274378999987675,-0.17500536129265581,3.608013558471751,
full,34,objective,optimal,25994,25994,5,1.5584582000010414,-0.19040139725449193,3.489685645378498,
full,35,objective,optimal,25994,25994,5,1.4666908999988664,-0.20540628038571696,3.3552982961556337,
full,36,objective,optimal,25994,25994,5,1.3831462999987707,-0.1916470229334491,3.26562270042634,
full,37,objective,optimal,25994,25994,5,1.5589764999986073,-0.18208980573565955,3.1742202377672006,
full,38,objective,optimal,25994,25994,5,1.6035678000007465,-0.19260690062425115,3.0693959421507935,
full,39,objective,optimal,25994,25994,5,1.9808762999982719,-0.16073557901425536,3.01129011736331,
full,40,objective,optimal,25994,25994,5,1.76241680000021,-0.13344228037957906,2.954054428896793,
